Run:Fill,LS,HLTpath,L1bit,HLTpresc,L1presc,Recorded(/ub),Effective(/ub)
190645:2486,95:95,HLT_Photon150_v1,L1_SingleEG30,1,1,5483.16746488,5483.16746488
190645:2486,96:96,HLT_Photon150_v1,L1_SingleEG30,1,1,5474.27183943,5474.27183943
190645:2486,97:97,HLT_Photon150_v1,L1_SingleEG30,1,1,5476.12789686,5476.12789686
190645:2486,98:98,HLT_Photon150_v1,L1_SingleEG30,1,1,5482.1212805,5482.1212805
190645:2486,99:99,HLT_Photon150_v1,L1_SingleEG30,1,1,4772.02694926,4772.02694926
190645:2486,100:100,HLT_Photon150_v1,L1_SingleEG30,1,1,5478.6594213,5478.6594213
190645:2486,101:101,HLT_Photon150_v1,L1_SingleEG30,1,1,5447.65387357,5447.65387357
190645:2486,102:102,HLT_Photon150_v1,L1_SingleEG30,1,1,5471.20389441,5471.20389441
190645:2486,103:103,HLT_Photon150_v1,L1_SingleEG30,1,1,5364.86143491,5364.86143491
190645:2486,104:104,HLT_Photon150_v1,L1_SingleEG30,1,1,5466.72464518,5466.72464518
190645:2486,105:105,HLT_Photon150_v1,L1_SingleEG30,1,1,5458.87250254,5458.87250254
190645:2486,106:106,HLT_Photon150_v1,L1_SingleEG30,1,1,5439.79847413,5439.79847413
190645:2486,107:107,HLT_Photon150_v1,L1_SingleEG30,1,1,5452.10382991,5452.10382991
190645:2486,108:108,HLT_Photon150_v1,L1_SingleEG30,1,1,5452.65254081,5452.65254081
190645:2486,109:109,HLT_Photon150_v1,L1_SingleEG30,1,1,5394.09309977,5394.09309977
190645:2486,110:110,HLT_Photon150_v1,L1_SingleEG30,1,1,3133.52565588,3133.52565588
190646:2486,1:1,HLT_Photon150_v1,L1_SingleEG30,1,1,4324.13612052,4324.13612052
190646:2486,2:2,HLT_Photon150_v1,L1_SingleEG30,1,1,36.0561718788,36.0561718788
190646:2486,3:3,HLT_Photon150_v1,L1_SingleEG30,1,1,65.478124623,65.478124623
190646:2486,4:4,HLT_Photon150_v1,L1_SingleEG30,1,1,1014.65152495,1014.65152495
190646:2486,5:5,HLT_Photon150_v1,L1_SingleEG30,1,1,4517.86853744,4517.86853744
190646:2486,6:6,HLT_Photon150_v1,L1_SingleEG30,1,1,5421.7823251,5421.7823251
190646:2486,7:7,HLT_Photon150_v1,L1_SingleEG30,1,1,5230.6138862,5230.6138862
190646:2486,8:8,HLT_Photon150_v1,L1_SingleEG30,1,1,5418.31331712,5418.31331712
190646:2486,9:9,HLT_Photon150_v1,L1_SingleEG30,1,1,5170.17484827,5170.17484827
190646:2486,10:10,HLT_Photon150_v1,L1_SingleEG30,1,1,5408.47369617,5408.47369617
190646:2486,11:11,HLT_Photon150_v1,L1_SingleEG30,1,1,5400.88219746,5400.88219746
190646:2486,12:12,HLT_Photon150_v1,L1_SingleEG30,1,1,5410.68578312,5410.68578312
190646:2486,13:13,HLT_Photon150_v1,L1_SingleEG30,1,1,5373.91026499,5373.91026499
