Run:Fill,LS,HLTpath,L1bit,HLTpresc,L1presc,Recorded(/ub),Effective(/ub)
190646:2486,11:11,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5400.88219746,540.088219746
190646:2486,12:12,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5410.68578312,541.068578312
190646:2486,13:13,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5373.91026499,537.391026499
190646:2486,14:14,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5389.03819522,538.903819522
190646:2486,15:15,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5382.15034406,538.215034406
190646:2486,16:16,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5389.71690313,538.971690313
190646:2486,17:17,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5375.30437458,537.530437458
190646:2486,18:18,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,4931.05038662,493.105038662
190646:2486,19:19,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5376.51674919,537.651674919
190646:2486,20:20,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5356.72174213,535.672174213
190646:2486,21:21,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5356.54742818,535.654742818
190646:2486,22:22,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5336.37312409,533.637312409
190646:2486,23:23,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5349.12051472,534.912051472
190646:2486,24:24,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5343.27574784,534.327574784
190646:2486,25:25,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5261.14492316,526.114492316
190646:2486,26:26,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5337.63591206,533.763591206
190646:2486,27:27,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5346.00110978,534.600110978
190646:2486,28:28,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,4813.50288255,481.350288255
190646:2486,29:29,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,4965.60484234,496.560484234
190646:2486,30:30,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5306.14233614,530.614233614
190646:2486,31:31,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,4984.49544408,498.449544408
190646:2486,32:32,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5321.9460371,532.19460371
190646:2486,33:33,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5335.54238887,533.554238887
190646:2486,34:34,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5315.92717138,531.592717138
190646:2486,35:35,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5314.49707798,531.449707798
190646:2486,36:36,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5082.49281098,508.249281098
190646:2486,37:37,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5310.82838067,531.082838067
190646:2486,38:38,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5321.72258263,532.172258263
190646:2486,39:39,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5303.68002237,530.368002237
190646:2486,40:40,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5313.02081706,531.302081706
190646:2486,41:41,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5299.60191381,529.960191381
190646:2486,42:42,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5307.79950463,530.779950463
190646:2486,43:43,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5302.60006926,530.260006926
190646:2486,44:44,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5304.457324,530.4457324
190646:2486,45:45,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5301.27953806,530.127953806
190646:2486,46:46,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5296.04483513,529.604483513
190646:2486,47:47,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5297.84557253,529.784557253
190646:2486,48:48,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5293.97412284,529.397412284
190646:2486,49:49,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5266.38717363,526.638717363
190646:2486,50:50,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5287.70827621,528.770827621
190646:2486,51:51,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5283.33942478,528.333942478
190646:2486,52:52,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5279.85688457,527.985688457
190646:2486,53:53,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5262.91558891,526.291558891
190646:2486,54:54,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5273.55252824,527.355252824
190646:2486,55:55,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,4594.45273947,459.445273947
190646:2486,56:56,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5264.07579224,526.407579224
190646:2486,57:57,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5263.20266182,526.320266182
190646:2486,58:58,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5260.31620466,526.031620466
190646:2486,59:59,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5258.82799279,525.882799279
190646:2486,60:60,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,4640.56251973,464.056251973
190646:2486,61:61,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5136.17930149,513.617930149
190646:2486,62:62,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5063.03901495,506.303901495
190646:2486,63:63,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5247.93197066,524.793197066
190646:2486,64:64,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5244.49629018,524.449629018
190646:2486,65:65,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5085.32847692,508.532847692
190646:2486,66:66,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5234.13121237,523.413121237
190646:2486,67:67,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5233.71880736,523.371880736
190646:2486,68:68,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5227.605473,522.7605473
190646:2486,69:69,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5174.07336066,517.407336066
190646:2486,70:70,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5209.52794652,520.952794652
190646:2486,71:71,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,4973.75632659,497.375632659
190646:2486,72:72,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5217.57084384,521.757084384
190646:2486,73:73,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5214.39344301,521.439344301
190646:2486,74:74,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5208.98419254,520.898419254
190646:2486,75:75,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5200.93283133,520.093283133
190646:2486,76:76,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5199.55754361,519.955754361
190646:2486,77:77,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5188.67172217,518.867172217
190646:2486,78:78,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5199.08634853,519.908634853
190646:2486,79:79,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5184.16117496,518.416117496
190646:2486,80:80,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,4697.45597831,469.745597831
190646:2486,81:81,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5178.52536167,517.852536167
190646:2486,82:82,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5185.94481085,518.594481085
190646:2486,83:83,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5176.26729447,517.626729447
190646:2486,84:84,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5165.48140861,516.548140861
190646:2486,85:85,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5171.21836703,517.121836703
190646:2486,86:86,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5160.96873462,516.096873462
190646:2486,87:87,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5141.36023912,514.136023912
190646:2486,88:88,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5162.96189289,516.296189289
190646:2486,89:89,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5171.1961627,517.11961627
190646:2486,90:90,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5165.86136837,516.586136837
190646:2486,91:91,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5163.08597367,516.308597367
190646:2486,92:92,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5157.78375646,515.778375646
190646:2486,93:93,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5139.90006563,513.990006563
190646:2486,94:94,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5150.32819169,515.032819169
190646:2486,95:95,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5148.47262351,514.847262351
190646:2486,96:96,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5148.31333221,514.831333221
190646:2486,97:97,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5146.01245369,514.601245369
190646:2486,98:98,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,4923.19271408,492.319271408
190646:2486,99:99,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,4851.03627235,485.103627235
190646:2486,100:100,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5122.55425045,512.255425045
190646:2486,101:101,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5133.89625531,513.389625531
190646:2486,102:102,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5128.30253763,512.830253763
190646:2486,103:103,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,4124.9160226,412.49160226
190646:2486,104:104,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5127.49491842,512.749491842
190646:2486,105:105,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5113.48449354,511.348449354
190646:2486,106:106,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,4844.5070498,484.45070498
190646:2486,107:107,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5131.95875639,513.195875639
190646:2486,108:108,HLT_Photon50_CaloIdVL_IsoL_v14,L1_SingleEG20,10,1,5132.60750349,513.260750349
