absEta_0_1-gold-Et_0_35	runNumber	195378	195398	0.9920	0.0002
absEta_0_1-gold-Et_35_43	runNumber	195378	195398	0.9912	0.0002
absEta_0_1-bad-Et_45_50	runNumber	195378	195398	0.9916	0.0002
absEta_0_1-bad-Et_0_33	runNumber	195378	195398	0.9944	0.0002
absEta_0_1-bad-Et_50_58	runNumber	195378	195398	0.9914	0.0002
absEta_0_1-bad-Et_58_10000	runNumber	195378	195398	0.9909	0.0003
absEta_0_1-bad-Et_33_39	runNumber	195378	195398	0.9937	0.0002
absEta_0_1-bad-Et_39_45	runNumber	195378	195398	0.9935	0.0002
absEta_0_1-gold-Et_50_55	runNumber	195399	195657	0.9896	0.0003
absEta_0_1-gold-Et_43_50	runNumber	195399	195657	0.9903	0.0002
absEta_0_1-gold-Et_55_10000	runNumber	195399	195657	0.9894	0.0002
absEta_0_1-gold-Et_0_35	runNumber	195399	195657	0.9925	0.0002
absEta_0_1-gold-Et_35_43	runNumber	195399	195657	0.9917	0.0002
absEta_0_1-bad-Et_45_50	runNumber	195399	195657	0.9922	0.0002
absEta_0_1-bad-Et_0_33	runNumber	195399	195657	0.9950	0.0002
absEta_0_1-bad-Et_50_58	runNumber	195399	195657	0.9920	0.0002
absEta_0_1-bad-Et_58_10000	runNumber	195399	195657	0.9915	0.0003
absEta_0_1-bad-Et_33_39	runNumber	195399	195657	0.9943	0.0002
absEta_0_1-bad-Et_39_45	runNumber	195399	195657	0.9941	0.0002
absEta_0_1-gold-Et_50_55	runNumber	195658	195918	0.9902	0.0003
absEta_0_1-gold-Et_43_50	runNumber	195658	195918	0.9909	0.0002
absEta_0_1-gold-Et_55_10000	runNumber	195658	195918	0.9900	0.0002
absEta_0_1-gold-Et_0_35	runNumber	195658	195918	0.9931	0.0002
absEta_0_1-gold-Et_35_43	runNumber	195658	195918	0.9923	0.0002
absEta_0_1-bad-Et_45_50	runNumber	195658	195918	0.9927	0.0002
absEta_0_1-bad-Et_0_33	runNumber	195658	195918	0.9955	0.0002
absEta_0_1-bad-Et_50_58	runNumber	195658	195918	0.9925	0.0002
absEta_0_1-bad-Et_58_10000	runNumber	195658	195918	0.9920	0.0003
absEta_0_1-bad-Et_33_39	runNumber	195658	195918	0.9948	0.0002
absEta_0_1-bad-Et_39_45	runNumber	195658	195918	0.9946	0.0002
absEta_0_1-gold-Et_50_55	runNumber	195919	196198	0.9895	0.0003
absEta_0_1-gold-Et_43_50	runNumber	195919	196198	0.9902	0.0002
absEta_0_1-gold-Et_55_10000	runNumber	195919	196198	0.9893	0.0002
absEta_0_1-gold-Et_0_35	runNumber	195919	196198	0.9924	0.0002
absEta_0_1-gold-Et_35_43	runNumber	195919	196198	0.9916	0.0002
absEta_0_1-bad-Et_45_50	runNumber	195919	196198	0.9921	0.0002
absEta_0_1-bad-Et_0_33	runNumber	195919	196198	0.9949	0.0002
absEta_0_1-bad-Et_50_58	runNumber	195919	196198	0.9919	0.0002
absEta_0_1-bad-Et_58_10000	runNumber	195919	196198	0.9914	0.0003
absEta_0_1-bad-Et_33_39	runNumber	195919	196198	0.9942	0.0002
absEta_0_1-bad-Et_39_45	runNumber	195919	196198	0.9940	0.0002
absEta_0_1-gold-Et_50_55	runNumber	196199	196356	0.9903	0.0003
absEta_0_1-gold-Et_43_50	runNumber	196199	196356	0.9910	0.0002
absEta_0_1-gold-Et_55_10000	runNumber	196199	196356	0.9901	0.0002
